OBJECTID,NAME,PollingPlaceID,PrecinctCode,ShapeSTArea,ShapeSTLength
1,Biwabik Twp,12879,0060,74718965.141418,58776.5653650198
2,Floodwood P-1,32688,0525,4494206.50040467,24126.7073369243
3,Embarrass Twp,13718,0470,84834830.2029729,36757.3207946948
4,Fayal Twp,13797,0510,89315204.3885168,38594.8819050532
5,Vermilion Lake Twp,32515,1035,94518234.5527688,38725.4998941953
6,Fine Lakes Twp,13812,0520,92832041.3855911,38620.5717358949
7,Waasa Twp,16173,1125,91326907.6214936,38215.583886705
8,Duluth Twp,15912,0435,120150985.630768,48069.2172122537
9,Leiding Twp,32297,0780,364393657.202225,90222.8397666683
10,McKinley,32018,0797,4071396.72121028,14410.9506315738
11,Culver Twp,13527,0135,90602319.8003068,43635.7280489653
12,Unorg Prct 7,26541,0965,96404776.8226862,39413.2162113812
13,Sturgeon Twp,15800,0930,95621144.3374693,38744.8190697339
14,Bassett Twp,12786,0045,470980183.217351,96175.5345027725
15,New Independence Twp,32518,0845,92658139.0634196,38535.4212468537
16,Eagles Nest Twp,32311,0437,77528896.7113888,35399.936672507
17,French Twp,15569,0545,95722042.3197679,39115.5897245123
18,Fredenberg Twp,13407,0540,93127203.6207406,38618.5382434694
19,Portage Twp,30052,0885,371499477.855806,77118.0332390465
20,White Twp P-3,13338,1136,182534937.393382,121937.135842496
21,Halden Twp,14086,0590,93304292.5647766,38585.14128599
22,Rice Lake,15351,0910,85813026.4710653,41884.2078262125
23,Toivola Twp,15875,0935,186450642.087515,57915.6135644909
24,Alborn Twp,12657,0010,91359669.4044875,38428.6611572556
25,Grand Lake Twp,14036,0570,185387558.24707,57823.043129889
26,Greenwood Twp,14065,0585,238313237.051076,68196.3074318855
27,Arrowhead Twp,15916,0025,184880638.25415,57746.0944442194
28,Hermantown P-2,13832,0600,46771694.7509543,29007.5719081207
29,Babbitt,13268,0035,276303298.531976,77397.7632549271
30,Eveleth P-1,13238,0475,11153334.3512281,15830.4622188386
31,Gilbert,13971,0550,32135277.7945919,26306.9863761026
32,Chisholm,13125,0100,12234625.8913192,19364.166934768
33,Stoney Brook Twp,15787,0925,92719944.9836714,38473.4432438984
34,Tower P-1,13342,0940,7401115.77163853,21807.0482288378
35,Colvin Twp,13378,0120,93301558.9041121,38614.2951530271
36,Lavell Twp,14472,0775,280121351.174713,77669.692349536
37,Cherry Twp,13114,0095,86723910.0836819,37292.8188085145
38,Ness Twp,31753,0840,91118521.8734802,38283.7197315043
39,Mountain Iron P-1,13216,0820,111849281.5396,58481.9068172644
40,Meadowlands,13388,0799,995723.173358545,4250.85545669674
41,Gnesen Twp,13993,0565,186144831.154789,57825.6077840846
42,Great Scott Twp P-1,32516,0575,155952608.728354,87431.8610505962
43,Elmer Twp,13709,0445,105166415.927064,42803.8918893242
44,Balkan Twp,30433,0040,171339338.12076,71238.3495917374
45,Unorg Prct 8,26542,0973,96221134.6888491,38924.2649859954
46,Fairbanks Twp,15174,0505,187389228.374708,58030.94158489
47,Unorg Prct 3,14640,0031,278863046.805999,77219.9497937739
48,Crane Lake Twp,27067,0133,213254386.53429,71889.2691388674
49,Angora Twp,16039,0020,94409310.3787598,39011.7043769894
50,Linden Grove Twp,14533,0790,91479194.2430459,38627.2993783133
51,Morcom Twp,12800,0810,92598629.5498058,38820.0730188641
52,Buhl,12977,0080,9091920.16892388,15856.3990380265
53,Canosia Twp,13039,0085,92379694.387248,42675.2143473934
54,Cedar Valley Twp,13075,0090,179630283.35925,58107.0217821594
55,Ault Twp,15894,0030,185949687.550107,57914.7565371446
56,Unorg Prct 13,26547,1000,1608441479.00145,316461.157104353
57,Owens Twp,31781,0865,71647176.458198,42238.8252350254
58,Pequaywan Twp,32514,0875,93106403.8254773,38637.3611262903
59,Willow Valley Twp,31795,1140,90794815.5583043,38143.2930324722
60,Ely,25980,0450,7580430.00634887,17919.8201474792
61,Northland Twp,13834,0855,91587319.9866774,38268.2726262252
62,Meadowlands Twp,13388,0800,156838627.758127,58653.944346678
63,Winton,16335,1145,317642.704804245,2591.27136520642
64,Camp 5 Twp,14491,1011,87433514.7250551,37393.1595130854
65,Virginia P-1,14803,1040,28455506.5457638,31123.5998768982
66,Unorg Prct 9,26543,0975,181274288.103253,57486.360057994
67,Iron Junction,32027,0755,2095971.89665875,7325.03238504764
68,Unorg Prct 4,14641,0945,93533259.4171512,38556.9265791375
69,Orr,30422,0860,3682248.33348549,11709.170764718
70,Brevator Twp,32512,0070,92463373.1826209,38593.1207555393
71,Prairie Lake Twp,32029,0890,92901028.0624832,38550.0293878892
72,Unorg Prct 1,14638,0591,92036948.9736703,39284.8692614574
73,Unorg Prct 21,26550,1002,1656851267.50586,291390.672607847
74,Biwabik,12878,0055,23219528.0025275,57900.2134623141
75,Brookston,13220,0075,1421378.27582876,5229.69134775465
76,Unorg Prct 19,27632,1001,91181142.8075302,48579.9298209422
77,Cotton Twp,13474,0130,186407522.227106,57927.0147255695
78,Solway Twp,15602,0920,92503394.3494639,38570.4130890883
79,Industrial Twp,13410,0750,93330290.7214507,38546.258446597
80,Pike Twp,15186,0880,87806290.1721493,37621.5143629149
81,McDavitt Twp,14738,0795,187246422.117208,58113.0701304772
82,North Star Twp,32513,0852,92268639.232801,38383.895918904
83,Wuori Twp,16372,1150,90843477.4255357,38291.1708295458
84,Proctor,26497,0895,8349819.20921999,15931.3293601368
85,Alden Twp,12658,0015,92941476.8819356,38612.6018273413
86,Kabetogama Twp,14342,1160,92697117.3479292,38531.6909192771
87,Cook,13460,0125,6729606.5899155,20217.4535179567
88,Midway Twp,26917,0805,36561311.5906801,29053.0602594732
89,Ellsburg Twp,15892,0440,186033949.966671,57811.7196777126
90,Sandy Twp,15476,0915,86582803.3811945,37288.4040247506
91,Van Buren Twp,16135,1030,92573871.0459806,38412.760369632
92,Lakewood Twp,14453,0770,72161139.0918098,35441.1641006353
93,Unorg Prct 12,26546,0990,46613577.1005101,28925.4344546713
94,Field Twp,13808,0515,140495933.89371,51505.655811689
95,Unorg Prct 18,15186,0881,79399470.5321646,36770.6122372637
96,Hoyt Lakes,12710,0735,149054611.462416,54072.4753196619
97,Kinney/Great Scott Twp P-2,32517,0580,10673188.5271233,14246.1483802338
98,Leonidas,32191,0785,3582215.26317547,9667.37653347183
99,Kugler Twp,14394,0765,91694881.120115,42434.879101218
100,Aurora/White Twp P-1,13444,1130,10131178.9883725,12679.7775710741
101,Floodwood Twp P-2,13222,0530,88057240.0835542,57878.1924272804
102,Normanna Twp,14992,0850,93380429.20153,38635.8369996777
103,Kelsey Twp,15915,0760,92943151.7816788,38613.1736121011
104,Alango Twp,26354,0005,93415788.230477,38784.7050543746
105,Hermantown P-3,15462,0605,23419132.5283148,19336.4545845389
106,Hermantown P-1,14178,0595,18719401.4425123,22028.440189238
107,Unorg Prct 23,26639,1005,93484213.6972665,38642.6888574918
108,Unorg Prct 2,14639,0857,371817073.259541,96308.9225085896
109,Unorg Prct 6,14650,0962,125459769.545583,45228.6251236834
110,Unorg Prct 20,26544,0976,92493043.2154108,38398.5548804956
111,White Twp P-2,14581,1135,89544406.3570319,41342.7923510142
112,Unorg Prct 14,14442,0960,94009284.6049728,38738.8273643381
113,Unorg Prct 5,14642,0950,92286219.4446625,38409.4559980834
114,Mountain Iron P-2,13215,0825,71405355.0993727,57597.0837910737
115,Eveleth P-2,13864,0480,5616265.74135492,12659.7281644357
116,Virginia P-4,14803,1055,728789.719192815,4689.68966734736
117,Virginia P-2,14803,1045,2694913.70027229,6898.24708841043
118,Virginia P-3,14803,1050,771346.666448485,4599.41552233179
119,Virginia P-5,14803,1060,16965891.7747894,23631.1529731565
120,Unorg Prct 15,15472,0970,90070634.7060083,38049.078160129
121,Unorg Prct 16,13756,0971,66075683.3381027,32929.3815602361
122,Unorg Prct 11,26545,0999,93045919.0762746,38470.6346222195
123,Unorg Prct 10,26546,0979,93051244.2185498,38455.232919074
124,Clinton Twp,13389,0115,87454673.0674932,46265.1187690036
125,Morse Twp,14860,0815,357453142.219724,95063.7144218055
126,Hibbing W-1 P-A,27168,0615,66805585.8491755,42059.3592191892
127,Hibbing W-2 P-A,14772,0620,39569761.5857893,44300.4045043391
128,Hibbing W-2 P-B,14361,0625,126243183.412598,52475.6819656184
129,Hibbing W-3 P-B,13126,0635,119711462.595092,49005.8379655935
130,Hibbing W-4 P-A,14279,0640,5579930.92885803,11445.3964943197
131,Hibbing W-4 P-B,14688,0645,118027990.818342,45614.5276215094
132,Hibbing W-3 P-A,31805,0630,6536695.10257601,12604.2135735252
133,Unorg Prct 24,14860,0821,372915121.155631,97067.7799717332
134,Unorg Prct 22,16043,0066,92843963.1702857,38539.637807503
135,Breitung Twp,16043,0065,101776053.690148,51360.39491836
136,Unorg Prct 17,14663,1155,91026838.9606913,38219.2544345624
137,Beatty Twp,12801,0050,206209263.266445,61504.5898878456
138,Duluth P-01,15719,0140,23881965.9798532,27207.1887338163
139,Duluth P-05,14449,0160,11395821.9348703,17953.926730506
140,Duluth P-03,14007,0150,3493976.76056804,11799.1773341202
141,Duluth P-02,14445,0145,1212768.24721256,6344.47884013408
142,Duluth P-04,26663,0155,2854978.55045753,9732.41065253713
143,Duluth P-23,30618,0265,20027220.4641718,34368.3471606627
144,Duluth P-27,14122,0285,3085852.67218479,11398.6688469033
145,Duluth P-25,15700,0275,4651518.95909009,9240.53004373594
146,Duluth P-24,15181,0270,4447469.62963288,11097.8974856515
147,Duluth P-34,15792,0325,16179993.9141985,21719.5654425226
148,Duluth P-33,14010,0320,19571830.4618391,26170.2896179949
149,Duluth P-26,26666,0280,3033355.1036873,9893.8538057682
150,Duluth P-21,14527,0255,5487961.21425654,16492.553638474
151,Duluth P-19,13614,0245,6123052.47590182,14308.4614276004
152,Duluth P-17,30617,0230,2103758.79583157,7252.55638594744
153,Duluth P-18,14404,0240,19446541.9487026,23716.0546054167
154,Duluth P-07,13979,0170,3124593.63160934,10078.7281899859
155,Duluth P-06,16353,0165,7185553.30838512,13276.7980936975
156,Duluth P-13,14881,0205,3010921.04985905,7674.94263979397
157,Duluth P-09,15187,0180,1194966.0493512,5421.31291481325
158,Duluth P-08,13458,0175,5208063.6173499,10727.6371767505
159,Duluth P-32,30619,0315,13851257.0942347,21988.6929612062
160,Duluth P-31,12795,0305,7721194.67777922,13465.1896424696
161,Duluth P-30,13690,0300,5243697.96331063,13924.3022987648
162,Duluth P-29,32541,0295,1442337.85339987,5846.64155148537
163,Duluth P-28,26667,0290,7437396.95762017,13115.1943735567
164,Duluth P-22,13613,0260,7221169.38936728,13457.0627046913
165,Duluth P-11,30614,0195,15083436.4952398,18608.3310768173
166,Duluth P-16,13875,0220,3081311.50003906,8223.93625558962
167,Duluth P-15,15147,0215,1320148.66453558,5187.39473081168
168,Duluth P-14,30616,0210,1748424.09322298,6506.15330869433
169,Duluth P-12,26664,0200,691903.165284515,4696.04887520674
170,Duluth P-10,16093,0190,1155240.32991126,4338.89699114098
178,Duluth P-35,15792,0330,3615000.89776968,15339.3294735763
